Starting week,Reached $20M,Reaching date,Weeks to $20M,Weeks observed,Total top-ups,Final balance
2024-02-09,Yes,2026-04-10,113.0,113,42696.50026505012,29826691.363155052
2024-02-16,Yes,2026-04-10,112.0,112,42018.74488632528,28849128.159036323
2024-02-23,Yes,2026-04-10,111.0,111,41191.366494091184,27478271.25327409
2024-03-01,Yes,2026-04-10,110.0,110,40372.02488632528,25840493.303236328
2024-03-08,Yes,2026-04-10,109.0,109,39493.93149409118,24160185.88172409
2024-03-15,Yes,2026-04-10,108.0,108,38860.07606611596,22524004.94396612
2024-03-22,Yes,2026-04-10,107.0,107,38242.69946518274,21056268.762835182
2024-03-28,Yes,2026-04-10,106.0,106,37208.97349409118,22224609.54479409
2024-04-05,Yes,2026-04-17,106.0,106,36705.589961977385,23439801.34324198
2024-04-12,Yes,2026-04-17,105.0,105,36108.31126505013,22010473.10986505
2024-04-19,Yes,2026-04-17,104.0,104,35715.12419622021,20649278.54397622
2024-04-26,Yes,2026-05-08,106.0,106,36708.07568537819,30542382.66845538
2024-05-03,Yes,2026-05-08,105.0,105,36409.43573720401,28528014.0008972
2024-05-10,Yes,2026-05-08,104.0,104,36455.59584421437,26623368.642214213
2024-05-17,Yes,2026-05-08,103.0,103,36291.03351120992,24812142.63802121
2024-05-24,Yes,2026-05-08,102.0,102,36080.408886325284,22970768.034226328
2024-05-31,Yes,2026-05-08,101.0,101,35663.05149409118,21335739.55420409
2024-06-07,No,Not reached by 2026-08-12,,114,40267.676066115964,12096064.829016121
2024-06-14,No,Not reached by 2026-08-12,,113,39931.93446518274,11130503.659565184
2024-06-21,No,Not reached by 2026-08-12,,112,39498.92169873946,10198919.850278737
2024-06-28,No,Not reached by 2026-08-12,,111,38970.6200179325,9385693.65421793
2024-07-05,No,Not reached by 2026-08-12,,110,38592.3920985,8594901.916128498
2024-07-12,No,Not reached by 2026-08-12,,109,37987.6273,7819931.998800002
2024-07-19,No,Not reached by 2026-08-12,,108,37374.095,6969033.412299997
2024-07-26,No,Not reached by 2026-08-12,,107,36480.51669873946,5629530.528658741
2024-08-02,No,Not reached by 2026-08-12,,106,36077.56873720401,5121446.393857203
2024-08-09,No,Not reached by 2026-08-12,,105,36165.86484421437,4781144.070054214
2024-08-16,No,Not reached by 2026-08-12,,104,36090.036511209924,4497349.928401209
2024-08-23,No,Not reached by 2026-08-12,,103,35976.37988632528,4187289.225356327
2024-08-30,No,Not reached by 2026-08-12,,102,35675.31049409118,3916574.077644091
2024-09-06,No,Not reached by 2026-08-12,,101,35508.51606611596,3647408.3491261182
2024-09-13,No,Not reached by 2026-08-12,,100,35319.05446518274,3388413.573445182
2024-09-20,No,Not reached by 2026-08-12,,99,34966.67969873946,3128790.776298741
2024-09-27,No,Not reached by 2026-08-12,,98,34461.4700179325,2924161.284217932
2024-10-04,No,Not reached by 2026-08-12,,97,33916.9750985,2689263.4139285013
2024-10-11,No,Not reached by 2026-08-12,,96,33495.2443,2479366.8226399994
2024-10-18,No,Not reached by 2026-08-12,,95,32983.532999999996,2260955.9578200006
2024-10-25,No,Not reached by 2026-08-12,,94,32513.925,2074364.5936100003
2024-11-01,No,Not reached by 2026-08-12,,93,32302.177889228762,1875591.115479229
2024-11-08,No,Not reached by 2026-08-12,,92,32271.338271989247,1768712.8363119892
2024-11-15,No,Not reached by 2026-08-12,,91,32046.717236353343,1662320.041396354
2024-11-22,No,Not reached by 2026-08-12,,90,31828.568135266363,1557032.438765266
2024-11-29,No,Not reached by 2026-08-12,,89,31428.308961977375,1461144.6564719775
